Transaction Date,Post Date,Description,Category,Amount
Aug 25,Aug 26,PAYMENT THANK YOU/PAIEMENT,MERCI,79.61
Sep 02,Sep 03,PAYMENT THANK YOU/PAIEMENT,MERCI,30.54
Sep 04,Sep 08,PAYMENT THANK YOU/PAIEMENT,MERCI,33.25
Sep 05,Sep 09,PAYMENT THANK YOU/PAIEMENT,MERCI,1.60
Sep 09,Sep 10,PAYMENT THANK YOU/PAIEMENT,MERCI,5.18
Aug 17,Aug 18,MY,SPICE HOUSE WINNIPEG MB Retail and Grocery,11.00
Aug 17,Aug 18,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,22.37
Aug 20,Aug 21,MPI,BISON SERVICE CENTRE WINNIPEG MB Professional and Financial Services,25.00
Aug 20,Aug 24,SOBEYS #5037,WINNIPEG MB Retail and Grocery,15.76
Aug 22,Aug 24,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Aug 23,Aug 24,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.50
Aug 26,Aug 27,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,14.68
Aug 26,Aug 27,MY,SPICE HOUSE WINNIPEG MB Retail and Grocery,5.50
Aug 29,Aug 31,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Aug 29,Aug 31,STARBUCKS 04827,WINNIPEG MB Restaurants,5.18
Aug 30,Aug 31,TIM HORTONS #2856,WINNIPEG MB Restaurants,1.60
Aug 30,Aug 31,TIM HORTONS #2856,WINNIPEG MB Restaurants,1.60
Sep 03,Sep 08,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,13.25
Sep 04,Sep 08,MPI ST MARY'S,SERVICE CENWINNIPEG MB Professional and Financial Services,20.00
Sep 05,Sep 08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.60
Sep 06,Sep 08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.60
Sep 07,Sep 08,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Sep 11,Sep 14,PAYMENT THANK YOU/PAIEMENT,MERCI,100.00
Sep 21,Sep 22,PAYMENT THANK YOU/PAIEMENT,MERCI,238.27
Sep 24,Sep 25,PAYMENT THANK YOU/PAIEMENT,MERCI,8.22
Sep 25,Sep 28,PAYMENT THANK YOU/PAIEMENT,MERCI,1.98
Sep 29,Sep 30,PAYMENT THANK YOU/PAIEMENT,MERCI,32.13
Sep 30,Oct 01,PAYMENT THANK YOU/PAIEMENT,MERCI,52.13
Oct 02,Oct 05,PAYMENT THANK YOU/PAIEMENT,MERCI,41.04
Oct 04,Oct 06,PAYMENT THANK YOU/PAIEMENT,MERCI,60.00
Oct 04,Oct 06,PAYMENT THANK YOU/PAIEMENT,MERCI,45.34
Oct 05,Oct 06,PAYMENT THANK YOU/PAIEMENT,MERCI,10.00
Oct 06,Oct 07,PAYMENT THANK YOU/PAIEMENT,MERCI,9.90
Oct 07,Oct 08,PAYMENT THANK YOU/PAIEMENT,MERCI,13.84
Oct 08,Oct 09,PAYMENT THANK YOU/PAIEMENT,MERCI,40.09
Sep 13,Sep 14,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.60
Sep 13,Sep 14,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Sep 13,Sep 16,SHOPPERSDRUGMART0532,WINNIPEG MB Health and Education,6.14
Sep 15,Sep 16,REAL CDN. SUPERSTORE #,WINNIPEG MB Retail and Grocery,29.52
Sep 20,Sep 21,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Sep 20,Sep 21,TIM HORTONS #8152,WINNIPEG MB Restaurants,0.65
Sep 21,Sep 22,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.50
Sep 21,Sep 23,STARBUCKS 04827,WINNIPEG MB Restaurants,2.74
Sep 23,Sep 24,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Sep 24,Sep 25,TIM HORTONS #8152,WINNIPEG MB Restaurants,1.98
Sep 25,Sep 28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87
Sep 25,Sep 28,TIM HORTONS #8152,WINNIPEG MB Restaurants,2.71
Sep 26,Sep 28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87
Sep 27,Sep 28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.50
Sep 27,Sep 28,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87
Sep 28,Sep 29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.87
Sep 28,Sep 29,TIM HORTONS #8152,WINNIPEG MB Restaurants,3.50
Sep 28,Sep 30,PAYPAL *CA 4029357733,CA Retail and Grocery,6.94
Sep 29,Sep 30,TIM HORTONS #8152,WINNIPEG MB Restaurants,9.06
Sep 29,Sep 30,BK #11895,WINNIPEG MB Restaurants,12.09
Sep 30,Oct 01,MYBACKCHECK.COM,SURREY BC Personal and Household Expenses,30.98
Sep 30,Oct 01,TIM HORTONS #8152,WINNIPEG MB Restaurants,6.49
Oct 01,Oct 02,BK #11895,WINNIPEG MB Restaurants,12.53
